Размер массива,Выбором. Случайные 0-5,Выбором. Случайные 0-4000,Выбором. Почти отсортированный,Выбором. Обратный порядок,Пузырек. Случайные 0-5,Пузырек. Случайные 0-4000,Пузырек. Почти отсортированный,Пузырек. Обратный порядок,Пузырек + Айверсон 1. Случайные 0-5,Пузырек + Айверсон 1. Случайные 0-4000,Пузырек + Айверсон 1. Почти отсортированный,Пузырек + Айверсон 1. Обратный порядок,Пузырек + Айверсон 1 + 2. Случайные 0-5,Пузырек + Айверсон 1 + 2. Случайные 0-4000,Пузырек + Айверсон 1 + 2. Почти отсортированный,Пузырек + Айверсон 1 + 2. Обратный порядок,Простыми вставками. Случайные 0-5,Простыми вставками. Случайные 0-4000,Простыми вставками. Почти отсортированный,Простыми вставками. Обратный порядок,Бинарными вставками. Случайные 0-5,Бинарными вставками. Случайные 0-4000,Бинарными вставками. Почти отсортированный,Бинарными вставками. Обратный порядок,Подсчетом. Случайные 0-5,Подсчетом. Случайные 0-4000,Подсчетом. Почти отсортированный,Подсчетом. Обратный порядок,Цифровая. Случайные 0-5,Цифровая. Случайные 0-4000,Цифровая. Почти отсортированный,Цифровая. Обратный порядок,Слиянием. Случайные 0-5,Слиянием. Случайные 0-4000,Слиянием. Почти отсортированный,Слиянием. Обратный порядок,Быстрая + Хоара. Случайные 0-5,Быстрая + Хоара. Случайные 0-4000,Быстрая + Хоара. Почти отсортированный,Быстрая + Хоара. Обратный порядок,Быстрая + Ломуто. Случайные 0-5,Быстрая + Ломуто. Случайные 0-4000,Быстрая + Ломуто. Почти отсортированный,Быстрая + Ломуто. Обратный порядок,Пирамидальная. Случайные 0-5,Пирамидальная. Случайные 0-4000,Пирамидальная. Почти отсортированный,Пирамидальная. Обратный порядок
100,147,115,111,227,225,311,211,1350,581,543,242,785,196,257,261,265,33,236,45,110,107,95,100,111,14,223,118,238,24,136,85,725,60,91,181,38,23,42,59,28,79,64,270,310,86,74,87,171
200,527,374,552,707,797,2407,1037,4263,1233,2270,1307,3489,590,1824,1296,1027,137,430,193,345,454,343,261,898,16,240,81,216,45,265,156,254,127,147,183,83,50,61,134,48,240,158,213,1210,243,181,106,337
300,1771,854,1129,1230,1760,4792,2985,6516,1921,4053,2079,7730,1635,2399,2919,2241,417,935,420,844,1488,952,732,1369,47,263,161,222,78,432,1126,388,190,242,375,132,79,87,191,66,517,275,409,3697,413,275,321,649
400,2056,1455,1645,2263,7698,7367,3696,11433,3166,7397,4947,9339,2778,4461,4979,4117,692,1516,2269,1609,3490,1219,725,2789,87,304,173,263,97,533,387,540,222,506,303,179,102,161,304,121,921,328,565,8224,471,372,276,584
500,3894,2323,6348,3226,6290,14944,6181,25151,3892,10536,4307,15597,3952,11078,10444,7837,951,2429,1824,3411,6834,1737,903,3365,62,312,203,262,134,1331,407,527,362,483,370,233,169,182,909,141,1525,480,692,7535,637,499,331,537
600,6061,3570,5516,4161,13415,21091,9140,32357,5761,15105,8479,16191,6302,11627,12869,13560,2881,2308,1878,4287,7028,3146,1171,3093,56,504,213,253,234,759,1526,1324,436,957,624,273,184,270,473,156,1926,455,1123,9018,1134,551,427,695
700,8264,4467,8530,5328,46894,17373,11728,32571,10773,23043,9712,113330,8180,18699,15656,18449,2059,2023,1946,5560,5432,3012,1821,4083,48,521,255,264,168,837,1575,1646,536,951,743,363,224,260,828,1048,2312,492,934,17444,1664,745,569,835
800,8493,8933,11917,9141,47635,20763,16513,44892,18885,46413,17647,50807,16218,25155,16078,19036,3278,3077,2737,9540,6525,4130,3447,4188,71,481,256,261,198,1767,1622,1508,548,1179,978,424,291,340,1061,220,4274,653,1287,25571,1388,892,831,1072
900,11384,9389,11391,8562,61995,37184,22551,39441,19650,60055,17007,101220,13845,19663,22999,33789,3419,3176,4547,15837,8324,4839,4221,7305,146,527,275,275,214,2000,1752,1594,569,1059,1208,479,309,595,1025,258,5022,861,942,28092,1831,901,924,1030
1000,11843,16228,16673,14604,46255,42901,21020,70954,28306,37391,21924,52925,16243,27586,33936,47311,3452,6070,4234,18974,7659,5686,2926,9226,97,1191,281,299,286,2077,1934,1952,645,1335,1058,506,346,523,494,265,9087,1015,1833,29358,1569,997,1282,1175
